"","zone_1","zone_2","zone_3"
"Echdc3",0,0,0
"Usp6nl",0,0,0
"Celf2",0,0,0
"Taf3",0,0,0
"Atp5c1",0,0,0
"Kin",0,0,0
"Itih2",0,0.0182356880674594,0
"Itih5",0.0370784814534025,0,0
"Prkcq",0,NA,0
"Pfkfb3",0,0,0
"Rbm17",0,0,0
"Il15ra",0,0,0
"Fbxo18",0,0,0
"Ankrd16",0,0,0
"Itga8",0,0,0
"E030013I19Rik",0,NA,0
"Mindy3",0,0,0
"Pter",0,0,0
"Rsu1",0,0,0
"Trdmt1",0,NA,0
"Vim",0,0,0
"Hacd1",0,0,0.0129842296464061
"Stam",0,0,0
"Mrc1",0,0,0
"Cacnb2",0,NA,0
"Nsun6",0,0,0
"Arl5b",0,0,0
"Plxdc2",0,0,0
"Nebl",0,NA,0
"A930004D18Rik",0,NA,0
"Skida1",0,NA,0
"Mllt10",0,0,0
"Dnajc1",0,0,0
"Commd3",0,0,0
"Bmi1",0,0,0
"Pip4k2a",0,0,0
"Armc3",0,NA,0
"Msrb2",0,0,0
"Otud1",0,0,0
"Etl4",0,0,0
"Arhgap21",0,0,0
"Gm13375",0,NA,0
"Enkur",0,NA,0
"Thnsl1",0,0,0
"Apbb1ip",0,NA,0
"Pdss1",0,0,0
"Abi1",0,0,0
"Acbd5",0,0,0
"Mastl",0,NA,0
"Yme1l1",0,0,0
"Spopl",0,0,0
"Hnmt",0.0128158719715707,0,0
"Il1rn",0,0,0
"Psd4",0,0,0
"Ehmt1",0,0,0
"Arrdc1",0,0,0
"Zmynd19",0,0,0
"Dph7",0,NA,0
"Mrpl41",0,0,0.0111044067002557
"Pnpla7",0,0,0
"Nsmf",0,0,0
"Entpd8",0,0,0
"Noxa1",0,NA,0
"Nrarp",0,NA,0
"Tor4a",0,0,0
"Nelfb",0,0,0
"Fam166a",0,NA,0
"Tubb4b",0,0,0.0361868061742429
"Rnf208",0,NA,0
"AL732309.1",0,NA,0
"Ndor1",0,0,0
"Tmem203",0,0,0
